pwsId,year,analyteCode,pwsName,countyServed,cityServed,waterSource,mean,max,populationServed,fips,
"1030005","2017","Arsenic","Detroit Lakes","Becker","Detroit Lakes","Groundwater","1.53 ug/L","1.53 ug/L","9200","27005"
"1030006","2017","Arsenic","Oak Grove Mobile Home Park","Becker","Detroit Lakes","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","60","27005"
"1030010","2017","Arsenic","Kountry Manor Mobile Home Park","Becker","Detroit Lakes","Groundwater","1.73 ug/L","3.54 ug/L","80","27005"
"1030022","2017","Arsenic","Brandy Lake Estates","Becker","Detroit Lakes","Groundwater","9.7 ug/L","11.9 ug/L","40","27005"
"1030014","2017","Arsenic","Frazee","Becker","Frazee","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","1410","27005"
"1030016","2017","Arsenic","Lake Park","Becker","Lake Park","Groundwater","1.76 ug/L","1.76 ug/L","797","27005"
"1040030","2017","Arsenic","Grass Lake Mobile Home Park","Beltrami","Beltrami","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","80","27007"
"1040001","2017","Arsenic","Elpine Village","Beltrami","Bemidji","Groundwater","1.39 ug/L","1.39 ug/L","125","27007"
"1040002","2017","Arsenic","Bemidji","Beltrami","Bemidji","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","13560","27007"
"1040007","2017","Arsenic","Birchlane Trailer Court","Beltrami","Bemidji","Groundwater","1.34 ug/L","1.34 ug/L","80","27007"
"1040009","2017","Arsenic","Little Norway Trailer Court","Beltrami","Bemidji","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","60","27007"
"1040024","2017","Arsenic","Northern Trailer Park","Beltrami","Bemidji","Groundwater","3.3 ug/L","3.3 ug/L","40","27007"
"1040026","2017","Arsenic","Secluded Acres","Beltrami","Bemidji","Groundwater","1.58 ug/L","1.95 ug/L","60","27007"
"1040027","2017","Arsenic","Woodland Mobile Home Park","Beltrami","Bemidji","Groundwater","4.35 ug/L","4.35 ug/L","70","27007"
"1040031","2017","Arsenic","Oak Hills Fellowship Bible College","Beltrami","Bemidji","Groundwater","0.5 ug/L (ND)","0.5 ug/L (ND)","225","27007"
"1040032","2017","Arsenic","Pine Valley Mobile Home Park","Beltrami","Bemidji","Groundwater","0.5 ug/L  (ND)","0.5 ug/L  (ND)","60","27007"
"1040033","2017","Arsenic","Country Lane Mobile Home Park","Beltrami","Bemidji","Groundwater","4.27 ug/L","4.27 ug/L","35","27007"
"1040034","2017","Arsenic","Movil Lake Trailer Park","Beltrami","Bemidji","Groundwater","2.73 ug/L","4.25 ug/L","50","27007"
"1040035","2017","Arsenic","Roosevelt Manor","Beltrami","Bemidji","Groundwater","1.79 ug/L","4.37 ug/L","60","27007"
"1040036","2017","Arsenic","Cottage Creek Estates","Beltrami","Bemidji","Groundwater","3.11 ug/L","4.0 ug/L","35","27007"
"1040014","2017","Arsenic","Blackduck","Beltrami","Blackduck","Groundwater","0.5 ug/L (ND)","0.5 ug/L (ND)","797","27007"
